,age,attrition,businesstravel,dailyrate,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework,department
469,29,No,travel_frequently,556.26,1,2,life sciences,470,3,M,69.53,2,2,sales executive,4,married,4492.84,11681.39,1,,12,3.0,3,Part Time,1,7.0,2,3.0,7,0,7,1995,53914.11,Yes,sales
470,48,No,non-travel,556.26,14,4,other,471,3,M,69.53,3,2,research scientist,2,married,4492.84,11681.39,8,,18,3.0,3,Part Time,1,,4,4.0,8,1,7,1976,53914.11,No,research & development
471,35,No,travel_rarely,1032.49,13,4,medical,472,4,M,129.06,3,3,sales executive,3,divorced,8339.32,21682.23,1,No,18,3.0,3,Part Time,1,9.0,2,2.0,8,1,1,1989,100071.84,Yes,sales
472,27,No,non-travel,290.04,1,3,medical,473,3,M,36.26,3,1,laboratory technician,1,single,2342.59,6090.75,0,No,13,3.0,4,Part Time,0,8.0,6,,7,7,6,1997,28111.13,Yes,research & development
473,28,No,travel_rarely,556.26,9,3,other,474,4,M,69.53,3,2,sales executive,4,unknown,4492.84,11681.39,1,,14,3.0,1,Part Time,0,,5,,7,0,7,1996,53914.11,No,sales
474,32,Yes,travel_frequently,556.26,26,4,marketing,475,1,M,69.53,3,2,sales executive,4,unknown,4492.84,11681.39,1,Yes,11,3.0,3,Part Time,0,10.0,4,3.0,10,0,8,1992,53914.11,Yes,sales
475,34,No,travel_frequently,556.26,7,2,life sciences,476,4,M,69.53,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,,20,not rated,3,Full Time,3,9.0,2,3.0,9,2,8,1990,53914.08,Yes,research & development
476,32,No,non-travel,1032.49,10,3,other,477,3,F,129.06,3,3,research director,3,married,8339.32,21682.23,4,No,20,4.0,3,Part Time,1,13.0,2,4.0,11,4,8,1992,100071.84,Yes,research & development
477,36,No,non-travel,525.98,9,4,medical,478,2,M,65.75,3,2,research scientist,3,unknown,4248.33,11045.67,1,No,19,3.0,2,Part Time,0,10.0,5,3.0,10,0,8,1988,50980.0,Yes,research & development
478,34,No,travel_rarely,556.26,15,2,other,479,2,F,69.53,3,2,healthcare representative,4,married,4492.84,11681.39,0,Yes,13,not rated,1,Part Time,1,,6,3.0,9,8,1,1990,53914.11,Yes,research & development
479,40,No,travel_rarely,556.26,24,1,life sciences,480,1,M,69.53,3,2,research scientist,4,single,4492.84,11681.39,7,No,13,not rated,1,Full Time,0,,2,3.0,7,1,7,1984,53914.08,No,research & development
480,37,No,travel_rarely,1032.49,46,3,other,481,4,F,129.06,2,3,sales executive,4,unknown,8339.32,21682.23,0,No,19,3.0,3,Part Time,2,10.0,2,3.0,9,3,4,1987,100071.84,Yes,sales
481,42,No,travel_rarely,1400.08,28,4,life sciences,482,1,F,175.01,2,4,manufacturing director,2,married,11308.33,29401.67,0,No,23,not rated,3,Full Time,1,21.0,3,3.0,20,0,10,1982,135700.0,Yes,research & development
482,35,No,non-travel,692.51,28,3,marketing,483,4,F,86.56,2,2,sales executive,3,married,5593.33,14542.67,1,No,21,4.0,4,Full Time,2,8.0,2,3.0,8,1,7,1989,67120.0,No,sales
483,39,No,travel_rarely,556.26,10,2,other,484,1,F,69.53,3,2,sales executive,4,married,4492.84,11681.39,1,No,11,3.0,3,Full Time,1,10.0,1,3.0,10,1,9,1985,53914.08,Yes,sales
484,40,No,travel_rarely,1030.82,6,1,other,485,4,M,128.85,2,3,healthcare representative,1,unknown,8325.83,21647.17,4,,15,3.0,1,Part Time,1,,5,3.0,7,1,7,1984,99910.0,Yes,research & development
485,35,No,travel_rarely,1032.49,7,4,other,486,1,F,129.06,3,3,research director,2,single,8339.32,21682.23,0,No,11,not rated,3,Part Time,0,,4,3.0,12,2,11,1989,100071.84,No,research & development
486,45,No,travel_rarely,1057.33,7,4,medical,487,1,F,132.17,2,3,healthcare representative,4,married,8540.0,22204.0,3,,14,not rated,4,Full Time,1,24.0,4,3.0,22,5,17,1979,102480.0,Yes,research & development
487,47,No,non-travel,556.26,5,4,other,488,1,M,69.53,3,2,sales executive,4,single,4492.84,11681.39,4,,21,not rated,3,Part Time,0,14.0,4,3.0,9,0,8,1977,53914.11,Yes,sales
488,42,No,travel_frequently,1582.77,10,3,life sciences,489,4,M,197.85,2,4,manager,1,divorced,12783.92,33238.2,4,,13,3.0,2,Full Time,1,,2,2.0,7,7,7,1982,153407.07,No,research & development
489,40,No,non-travel,1128.52,2,4,other,490,3,F,141.06,3,3,healthcare representative,3,single,9115.0,23699.0,0,No,25,4.0,4,Full Time,0,20.0,1,3.0,19,11,8,1984,109380.0,No,research & development
490,43,No,travel_rarely,267.53,2,3,medical,491,4,F,33.44,2,1,laboratory technician,1,divorced,2160.83,5618.17,0,Yes,11,3.0,3,Part Time,1,10.0,4,3.0,9,7,8,1981,25930.0,Yes,research & development
491,34,No,travel_frequently,1225.51,5,4,other,492,4,F,153.19,3,3,manager,2,married,9898.33,25735.67,6,,11,not rated,2,Full Time,2,12.0,2,3.0,10,8,8,1990,118779.96,Yes,research & development
492,36,No,travel_rarely,835.2,5,4,technical degree,493,3,M,104.4,3,3,manufacturing director,2,single,6745.83,17539.17,0,No,13,3.0,4,Part Time,0,17.0,5,3.0,16,0,13,1988,80950.0,Yes,research & development
493,34,Yes,travel_rarely,1032.49,15,1,medical,494,2,M,129.06,3,3,manager,3,married,8339.32,21682.23,7,,12,3.0,4,Part Time,0,15.0,2,4.0,7,7,7,1990,100071.84,Yes,general
494,41,No,travel_rarely,1582.77,6,3,life sciences,495,2,F,197.85,3,4,manufacturing director,3,single,12783.92,33238.2,7,No,15,3.0,3,Full Time,0,22.0,3,3.0,20,5,13,1983,153407.07,No,research & development
495,42,No,travel_rarely,1973.98,10,4,human resources,496,2,M,246.75,2,5,manager,4,divorced,15943.72,41453.67,3,No,15,3.0,2,Full Time,3,23.0,2,2.0,21,12,6,1982,191324.62,No,general
496,28,No,non-travel,556.26,7,3,other,497,4,F,69.53,2,2,healthcare representative,1,unknown,4492.84,11681.39,8,No,19,3.0,1,Part Time,0,,2,1.0,7,0,7,1996,53914.11,No,research & development
497,53,No,travel_rarely,1739.11,3,4,marketing,498,3,M,217.39,2,4,manager,1,unknown,14046.67,36521.33,1,,11,3.0,1,Full Time,0,,3,4.0,34,1,16,1971,168560.0,Yes,general
498,52,No,travel_rarely,1582.77,26,4,marketing,499,1,F,197.85,3,4,manager,3,married,12783.92,33238.2,2,No,14,3.0,3,Full Time,1,,2,2.0,20,4,17,1972,153407.07,No,general
499,48,No,travel_rarely,468.1,2,2,marketing,500,3,F,58.51,3,2,sales executive,4,unknown,3780.83,9830.17,0,,22,4.0,1,Part Time,1,8.0,2,3.0,7,7,7,1976,45370.0,Yes,sales
500,51,No,non-travel,1849.3,2,4,other,501,1,M,231.16,3,4,manager,1,divorced,14936.67,38835.33,1,,11,3.0,4,Full Time,1,31.0,3,3.0,31,14,7,1973,179240.0,No,research & development
501,36,No,travel_rarely,414.14,21,1,life sciences,502,4,F,51.77,3,2,healthcare representative,4,married,3345.0,8697.0,1,,25,4.0,4,Part Time,1,10.0,2,1.0,10,0,7,1988,40140.0,Yes,research & development
502,40,No,travel_rarely,1314.65,1,1,other,503,4,F,164.33,2,4,manufacturing director,4,married,10618.33,27607.67,1,No,16,3.0,3,Full Time,1,,3,3.0,21,11,8,1984,127420.0,Yes,research & development
503,40,No,travel_frequently,1032.49,22,3,medical,504,4,F,129.06,3,3,manufacturing director,1,single,8339.32,21682.23,1,,13,3.0,3,Part Time,0,,2,3.0,21,2,8,1984,100071.84,No,research & development
504,42,No,non-travel,348.32,7,2,other,505,2,F,43.54,4,1,research scientist,3,unknown,2813.33,7314.67,1,No,13,3.0,3,Full Time,0,,3,3.0,10,0,8,1982,33760.0,No,research & development
505,45,Yes,non-travel,1081.48,1,2,medical,506,2,M,135.18,2,3,human resources,1,married,8735.0,22711.0,9,No,14,not rated,4,Full Time,1,24.0,1,3.0,20,3,6,1979,104820.0,Yes,human resources
506,43,No,non-travel,1582.77,2,2,medical,507,4,M,197.85,3,4,manager,1,unknown,12783.92,33238.2,0,No,17,3.0,4,Full Time,1,23.0,3,3.0,22,13,7,1981,153407.04,No,general
507,53,No,travel_rarely,1032.49,7,4,life sciences,508,2,M,129.06,3,3,healthcare representative,2,single,8339.32,21682.23,7,,19,3.0,4,Part Time,0,18.0,4,,8,4,0,1971,100071.84,Yes,research & development
508,39,No,non-travel,290.04,1,3,other,509,3,M,36.26,4,1,human resources,3,unknown,2342.59,6090.75,1,No,13,3.0,4,Part Time,1,7.0,2,4.0,7,5,0,1985,28111.13,Yes,human resources
509,47,No,non-travel,290.04,1,2,life sciences,510,4,F,36.26,3,1,human resources,1,unknown,2342.59,6090.75,6,,12,3.0,3,Part Time,0,10.0,3,4.0,7,5,7,1977,28111.13,Yes,human resources
510,36,No,non-travel,438.39,4,4,life sciences,511,3,M,54.8,3,2,research scientist,3,single,3540.83,9206.17,1,,11,3.0,2,Part Time,0,,3,3.0,9,1,1,1988,42490.0,No,research & development
511,29,No,travel_rarely,675.69,29,1,life sciences,512,3,M,84.46,1,2,manufacturing director,2,married,5457.5,14189.5,1,,14,not rated,2,Full Time,2,8.0,2,2.0,8,1,7,1995,65490.0,Yes,research & development
512,45,No,non-travel,1582.77,28,3,life sciences,513,4,M,197.85,3,4,research director,1,married,12783.92,33238.2,3,No,13,3.0,3,Full Time,1,,1,4.0,20,14,17,1979,153407.04,Yes,research & development
513,51,No,non-travel,1486.85,22,5,other,514,3,M,185.86,1,4,research director,4,unknown,12009.17,31223.83,1,,13,3.0,4,Full Time,0,,2,3.0,32,13,9,1973,144110.04,No,research & development
514,56,No,travel_rarely,2020.78,23,5,marketing,515,3,M,252.6,2,5,manager,4,unknown,16321.67,42436.33,1,No,21,4.0,3,Full Time,1,36.0,3,3.0,36,2,13,1968,195860.0,Yes,general
515,40,No,non-travel,849.85,6,3,other,516,4,M,106.23,4,3,sales executive,3,married,6864.17,17846.83,2,No,11,3.0,1,Part Time,1,11.0,3,3.0,7,7,6,1984,82370.0,Yes,sales
516,50,No,non-travel,331.29,13,4,other,517,1,F,41.41,3,1,laboratory technician,1,unknown,2675.83,6957.17,1,,14,3.0,4,Full Time,1,10.0,3,2.0,9,1,4,1974,32109.96,Yes,research & development
517,46,No,non-travel,1723.43,28,2,technical degree,518,4,F,215.43,2,4,research director,2,single,13920.0,36192.0,1,,11,not rated,3,Full Time,0,21.0,2,3.0,21,8,6,1978,167040.0,No,research & development
518,47,No,non-travel,1032.49,2,3,other,519,3,M,129.06,3,3,sales executive,4,unknown,8339.32,21682.23,4,,12,3.0,2,Part Time,1,,5,2.0,10,0,3,1977,100071.84,No,sales
519,28,No,non-travel,492.56,15,3,other,520,4,F,61.57,2,1,research scientist,1,married,3978.33,10343.67,0,No,19,3.0,4,Full Time,1,,2,,7,7,3,1996,47740.0,No,research & development
520,43,No,travel_rarely,1973.98,2,3,other,521,1,M,246.75,3,5,manager,3,married,15943.72,41453.67,5,,11,3.0,1,Full Time,0,24.0,2,2.0,22,4,14,1981,191324.64,Yes,general
521,50,No,non-travel,556.26,2,3,other,522,4,M,69.53,2,2,sales executive,2,married,4492.84,11681.39,2,,14,3.0,4,Part Time,0,17.0,3,2.0,9,0,8,1974,53914.11,Yes,sales
522,30,No,travel_rarely,556.26,15,2,life sciences,523,4,F,69.53,2,2,laboratory technician,3,single,4492.84,11681.39,0,Yes,12,3.0,4,Part Time,0,10.0,3,3.0,9,0,8,1994,53914.11,Yes,research & development
523,35,No,non-travel,471.3,12,4,marketing,524,1,M,58.91,3,2,sales executive,3,unknown,3806.67,9897.33,0,No,20,4.0,3,Part Time,0,,2,3.0,9,8,7,1989,45680.0,No,sales
524,38,No,non-travel,618.33,1,4,other,525,1,M,77.29,2,2,manufacturing director,3,divorced,4994.17,12984.83,1,No,18,3.0,3,Full Time,1,,2,,7,0,7,1986,59930.0,No,research & development
525,37,No,non-travel,670.53,11,3,other,526,2,M,83.82,2,2,manufacturing director,2,single,5415.83,14081.17,1,No,13,3.0,3,Full Time,0,6.0,3,3.0,6,0,3,1987,64990.0,Yes,research & development
526,46,No,non-travel,356.16,29,3,other,527,3,M,44.52,3,1,research scientist,4,single,2876.67,7479.33,5,,13,3.0,2,Full Time,0,9.0,2,2.0,6,0,3,1978,34520.0,Yes,research & development
527,30,No,travel_rarely,290.04,15,3,other,528,3,M,36.26,3,1,research scientist,4,unknown,2342.59,6090.75,1,No,19,3.0,1,Part Time,0,6.0,1,3.0,6,1,5,1994,28111.13,No,research & development
528,27,No,non-travel,660.01,1,3,other,529,3,F,82.5,3,2,manufacturing director,2,unknown,5330.83,13860.17,1,No,20,4.0,1,Full Time,1,6.0,6,1.0,6,1,4,1997,63970.0,No,research & development
529,29,No,non-travel,556.26,9,4,life sciences,530,2,M,69.53,3,2,sales executive,4,single,4492.84,11681.39,1,No,16,3.0,4,Part Time,0,,1,3.0,7,0,7,1995,53914.11,Yes,sales
530,43,No,travel_frequently,556.26,30,4,technical degree,531,4,F,69.53,2,2,healthcare representative,4,married,4492.84,11681.39,0,No,11,3.0,4,Full Time,3,7.0,4,4.0,6,0,4,1981,53914.11,Yes,research & development
531,32,No,travel_rarely,556.26,2,1,life sciences,532,2,M,69.53,3,2,sales executive,4,unknown,4492.84,11681.39,4,Yes,13,3.0,3,Part Time,0,10.0,2,4.0,6,0,5,1992,53914.11,Yes,sales
532,38,No,travel_rarely,1032.49,47,3,other,533,4,F,129.06,3,3,manufacturing director,4,single,8339.32,21682.23,4,,17,3.0,4,Part Time,0,,3,4.0,6,1,2,1986,100071.84,Yes,research & development
533,38,No,non-travel,1032.49,9,4,other,534,1,M,129.06,3,3,sales executive,2,divorced,8339.32,21682.23,1,No,13,3.0,4,Part Time,1,9.0,6,3.0,9,7,7,1986,100071.84,No,sales
534,38,No,travel_rarely,556.26,1,4,life sciences,535,2,F,69.53,3,2,manufacturing director,2,married,4492.84,11681.39,6,,12,3.0,2,Part Time,1,8.0,2,2.0,6,4,3,1986,53914.11,No,research & development
535,25,No,travel_rarely,281.15,23,3,medical,536,2,M,35.14,4,1,research scientist,4,unknown,2270.83,5904.17,1,,11,3.0,2,Part Time,2,,3,3.0,6,1,4,1999,27250.0,Yes,research & development
536,51,No,non-travel,1973.98,3,3,other,537,1,M,246.75,3,5,manager,2,married,15943.72,41453.67,1,No,11,3.0,3,Full Time,1,,2,3.0,32,10,7,1973,191324.64,No,general
537,35,No,non-travel,373.7,1,2,life sciences,538,2,M,46.71,2,1,research scientist,4,unknown,3018.33,7847.67,1,Yes,13,3.0,4,Full Time,1,6.0,3,3.0,6,1,3,1989,36220.0,Yes,research & development
538,28,No,travel_frequently,556.26,3,1,medical,539,4,F,69.53,4,2,sales executive,4,unknown,4492.84,11681.39,1,,20,not rated,2,Full Time,2,,3,3.0,6,0,4,1996,53914.11,No,sales
539,26,No,non-travel,637.62,42,1,other,540,4,F,79.7,3,2,sales executive,4,single,5150.0,13390.0,1,No,23,4.0,2,Full Time,0,6.0,5,2.0,6,1,4,1998,61800.0,No,sales
540,35,No,non-travel,647.32,25,3,other,541,4,M,80.92,3,2,sales executive,4,single,5228.33,13593.67,1,No,22,4.0,3,Full Time,0,6.0,5,3.0,6,1,4,1989,62740.0,Yes,sales
541,35,No,non-travel,452.01,2,4,other,542,3,F,56.5,2,1,research scientist,1,unknown,3650.83,9492.17,1,,11,not rated,3,Full Time,0,6.0,3,3.0,6,1,3,1989,43810.0,Yes,research & development
542,36,No,non-travel,1032.49,7,3,other,543,3,M,129.06,3,3,manufacturing director,3,single,8339.32,21682.23,3,No,21,4.0,2,Full Time,0,17.0,3,4.0,8,1,6,1988,100071.84,No,research & development
543,36,No,non-travel,264.02,16,1,medical,544,1,F,33.0,2,1,research scientist,1,unknown,2132.5,5544.5,1,,11,3.0,4,Part Time,0,6.0,3,2.0,6,1,1,1988,25590.0,No,research & development
544,34,No,non-travel,566.22,1,4,other,545,3,F,70.78,4,2,healthcare representative,2,married,4573.33,11890.67,1,Yes,13,3.0,1,Full Time,1,,2,3.0,6,1,2,1990,54880.0,Yes,research & development
545,30,No,non-travel,259.38,28,4,life sciences,546,3,F,32.42,3,1,research scientist,4,divorced,2095.0,5447.0,4,No,22,4.0,1,Part Time,1,11.0,1,3.0,7,1,7,1994,25140.0,No,research & development
546,30,No,travel_frequently,290.04,10,3,other,547,4,F,36.26,3,1,research scientist,2,divorced,2342.59,6090.75,0,No,14,3.0,4,Part Time,2,8.0,2,2.0,7,1,1,1994,28111.13,Yes,research & development
547,35,No,non-travel,556.26,9,1,life sciences,548,2,F,69.53,3,2,sales executive,3,married,4492.84,11681.39,1,,20,4.0,1,Part Time,0,,3,2.0,6,1,3,1989,53914.11,No,sales
548,29,No,travel_rarely,329.75,19,4,medical,549,4,M,41.22,2,1,laboratory technician,1,married,2663.33,6924.67,1,,12,3.0,3,Full Time,3,6.0,2,3.0,6,3,3,1995,31960.0,No,research & development
549,45,No,non-travel,290.04,2,1,life sciences,550,1,F,36.26,4,1,research scientist,4,married,2342.59,6090.75,1,,13,3.0,4,Part Time,1,10.0,5,3.0,10,7,7,1979,28111.13,No,research & development
550,32,No,travel_rarely,556.26,11,2,other,551,3,M,69.53,3,2,healthcare representative,1,married,4492.84,11681.39,1,Yes,12,not rated,4,Part Time,0,6.0,2,2.0,6,0,1,1992,53914.11,No,research & development
551,27,No,non-travel,290.04,4,2,life sciences,552,3,M,36.26,3,1,research scientist,4,unknown,2342.59,6090.75,1,Yes,20,4.0,2,Part Time,0,,2,2.0,8,2,2,1997,28111.13,No,research & development
552,48,No,travel_rarely,352.86,1,3,other,553,1,M,44.11,3,1,research scientist,4,unknown,2850.0,7410.0,7,No,12,3.0,3,Full Time,1,17.0,2,2.0,6,1,2,1976,34200.0,Yes,research & development
553,38,No,non-travel,290.04,5,2,other,554,3,M,36.26,4,1,laboratory technician,3,single,2342.59,6090.75,0,No,14,3.0,1,Part Time,0,7.0,2,1.0,6,1,3,1986,28111.13,No,research & development
554,33,No,non-travel,421.67,1,4,other,555,4,M,52.71,3,2,research scientist,1,married,3405.83,8855.17,4,,14,3.0,2,Full Time,1,9.0,3,2.0,6,1,2,1991,40869.96,Yes,research & development
555,33,No,non-travel,556.26,2,3,medical,556,4,M,69.53,3,2,research scientist,2,divorced,4492.84,11681.39,0,No,13,3.0,3,Part Time,2,10.0,4,2.0,9,1,6,1991,53914.11,Yes,research & development
556,34,No,non-travel,553.84,16,3,life sciences,557,3,F,69.23,3,2,sales executive,4,unknown,4473.33,11630.67,1,Yes,25,4.0,3,Part Time,1,7.0,2,3.0,6,1,2,1990,53680.0,No,sales
557,48,Yes,non-travel,1334.67,9,3,other,558,3,M,166.83,1,4,sales executive,3,married,10780.0,28028.0,7,No,11,not rated,3,Full Time,0,25.0,3,1.0,23,14,10,1976,129360.0,Yes,sales
558,42,Yes,non-travel,556.26,1,2,other,559,2,F,69.53,3,2,sales executive,4,unknown,4492.84,11681.39,8,Yes,11,3.0,1,Part Time,0,8.0,0,1.0,6,0,5,1982,53914.11,No,sales
559,36,No,travel_rarely,290.04,16,3,medical,560,1,M,36.26,4,1,laboratory technician,2,married,2342.59,6090.75,0,,13,3.0,3,Part Time,1,6.0,5,3.0,5,0,3,1988,28111.13,No,research & development
560,30,No,travel_rarely,290.04,2,3,life sciences,561,3,M,36.26,3,1,research scientist,2,married,2342.59,6090.75,0,No,23,4.0,4,Part Time,1,,3,3.0,5,0,4,1994,28111.13,No,research & development
561,33,No,travel_rarely,556.26,1,3,life sciences,562,2,M,69.53,3,2,research scientist,2,unknown,4492.84,11681.39,1,No,17,3.0,2,Part Time,2,10.0,3,3.0,10,0,9,1991,53914.11,Yes,research & development
562,36,No,travel_rarely,290.04,1,3,medical,563,2,M,36.26,2,1,research scientist,3,single,2342.59,6090.75,1,No,18,3.0,1,Part Time,0,6.0,3,3.0,6,0,4,1988,28111.13,No,research & development
563,57,No,non-travel,1032.49,13,3,other,564,4,M,129.06,1,3,manufacturing director,4,unknown,8339.32,21682.23,4,No,11,3.0,1,Full Time,0,37.0,3,2.0,6,0,2,1967,100071.84,Yes,research & development
564,29,No,non-travel,435.5,4,3,medical,565,2,M,54.44,3,2,sales executive,3,unknown,3517.5,9145.5,1,,15,3.0,2,Part Time,0,5.0,3,4.0,5,0,4,1995,42210.0,Yes,sales
565,26,Yes,travel_rarely,556.26,5,3,other,566,3,M,69.53,2,2,sales executive,3,single,4492.84,11681.39,1,Yes,11,3.0,4,Full Time,0,,1,3.0,6,0,3,1998,53914.08,Yes,sales
566,57,Yes,non-travel,512.06,14,4,life sciences,567,2,F,64.01,3,1,research scientist,2,unknown,4135.83,10753.17,9,,18,3.0,1,Full Time,3,7.0,2,3.0,5,4,3,1967,49630.0,Yes,research & development
567,27,No,non-travel,290.04,6,3,other,568,3,F,36.26,2,1,research scientist,2,married,2342.59,6090.75,1,,19,3.0,3,Part Time,0,5.0,3,2.0,5,4,3,1997,28111.13,No,research & development
568,33,Yes,non-travel,433.33,9,3,medical,569,1,F,54.17,3,1,laboratory technician,1,unknown,3500.0,9100.0,7,No,22,4.0,1,Full Time,0,,2,4.0,5,0,4,1991,42000.0,No,research & development
569,31,No,travel_rarely,290.04,18,3,life sciences,570,1,F,36.26,3,1,research scientist,3,single,2342.59,6090.75,1,No,14,3.0,3,Part Time,0,,4,2.0,5,0,4,1993,28111.13,Yes,research & development
570,51,No,travel_rarely,1973.98,11,3,other,571,3,F,246.75,3,5,manager,2,unknown,15943.72,41453.67,3,,15,3.0,2,Full Time,0,,5,3.0,5,4,4,1973,191324.64,No,general
571,33,No,non-travel,290.04,6,5,life sciences,572,3,M,36.26,3,1,research scientist,3,unknown,2342.59,6090.75,3,No,20,4.0,1,Part Time,0,8.0,2,,5,1,4,1991,28111.13,No,research & development
572,46,No,travel_rarely,516.49,4,2,other,573,3,F,64.56,3,2,sales executive,1,unknown,4171.67,10846.33,4,,11,3.0,1,Full Time,1,9.0,3,4.0,5,0,3,1978,50060.04,No,sales
573,44,No,non-travel,290.04,7,3,other,574,4,M,36.26,4,1,research scientist,4,divorced,2342.59,6090.75,4,No,14,3.0,4,Part Time,3,7.0,3,4.0,5,2,2,1980,28111.13,Yes,research & development
574,30,Yes,non-travel,788.15,27,3,marketing,575,2,F,98.52,3,3,sales executive,4,married,6365.83,16551.17,1,,22,4.0,4,Part Time,3,10.0,3,2.0,10,1,9,1994,76390.0,Yes,sales
575,32,No,non-travel,556.26,1,4,medical,576,3,M,69.53,1,2,manufacturing director,3,unknown,4492.84,11681.39,0,,12,3.0,4,Part Time,1,6.0,2,3.0,5,1,4,1992,53914.11,Yes,research & development
576,34,Yes,non-travel,290.04,14,3,other,577,3,M,36.26,3,1,laboratory technician,4,married,2342.59,6090.75,5,Yes,13,3.0,3,Full Time,1,8.0,2,1.0,5,0,4,1990,28111.08,No,research & development
577,32,Yes,non-travel,290.04,29,2,other,578,3,M,36.26,2,1,laboratory technician,2,unknown,2342.59,6090.75,0,No,11,3.0,2,Part Time,0,,2,4.0,5,1,4,1992,28111.13,Yes,research & development
578,38,No,non-travel,670.84,6,4,other,579,3,M,83.86,3,2,sales executive,4,unknown,5418.33,14087.67,4,No,14,3.0,2,Full Time,1,,5,4.0,5,0,1,1986,65019.96,Yes,sales
579,51,No,non-travel,1973.98,4,1,other,580,1,M,246.75,3,5,research director,2,divorced,15943.72,41453.67,3,No,14,3.0,1,Full Time,2,28.0,4,2.0,10,1,6,1973,191324.64,No,research & development
580,43,No,travel_frequently,1395.44,26,3,other,581,3,F,174.43,3,4,sales executive,2,married,11270.83,29304.17,5,,14,3.0,4,Full Time,1,,2,,20,4,8,1981,135250.0,Yes,sales
581,28,No,non-travel,556.26,2,3,other,582,4,M,69.53,3,2,sales executive,3,unknown,4492.84,11681.39,1,Yes,11,3.0,1,Full Time,0,5.0,3,3.0,5,0,4,1996,53914.08,Yes,sales
582,28,No,non-travel,655.06,1,1,marketing,583,3,M,81.88,3,2,sales executive,2,unknown,5290.83,13756.17,0,Yes,13,3.0,4,Full Time,1,,0,,5,1,4,1996,63489.96,Yes,sales
583,42,No,travel_rarely,556.26,6,3,other,584,4,M,69.53,2,2,manufacturing director,2,single,4492.84,11681.39,6,Yes,15,3.0,4,Part Time,0,,3,3.0,5,1,2,1982,53914.11,Yes,research & development
584,38,No,travel_rarely,290.04,10,3,medical,585,3,F,36.26,3,1,laboratory technician,1,unknown,2342.59,6090.75,6,No,20,4.0,2,Part Time,1,,3,3.0,5,0,3,1986,28111.13,Yes,research & development
585,41,Yes,non-travel,658.25,22,2,other,586,2,M,82.28,2,2,sales executive,3,unknown,5316.67,13823.33,2,Yes,12,3.0,1,Full Time,2,8.0,6,3.0,6,1,0,1983,63800.0,Yes,sales
586,56,No,non-travel,1582.77,2,3,other,587,3,F,197.85,3,4,manager,4,single,12783.92,33238.2,2,Yes,13,3.0,3,Full Time,0,,2,3.0,5,1,2,1968,153407.07,No,general
587,27,Yes,travel_frequently,320.05,3,1,other,588,3,M,40.01,3,1,research scientist,1,unknown,2585.0,6721.0,0,,22,4.0,3,Full Time,0,,2,3.0,6,0,4,1997,31020.0,Yes,research & development
588,41,No,travel_rarely,556.26,2,2,marketing,589,4,F,69.53,3,2,sales executive,2,divorced,4492.84,11681.39,7,,12,3.0,3,Part Time,2,,5,3.0,5,1,3,1983,53914.11,Yes,sales
589,26,No,non-travel,556.26,4,2,other,590,2,F,69.53,2,2,sales executive,4,single,4492.84,11681.39,1,Yes,11,3.0,2,Part Time,0,5.0,3,3.0,5,1,3,1998,53914.11,No,sales
590,31,No,non-travel,556.26,12,3,other,591,2,F,69.53,3,2,sales executive,3,single,4492.84,11681.39,0,No,11,not rated,2,Part Time,0,,6,3.0,5,4,4,1993,53914.11,Yes,sales
591,53,No,travel_rarely,1032.49,32,3,other,592,4,M,129.06,2,3,manufacturing director,3,married,8339.32,21682.23,2,,14,not rated,3,Part Time,0,,4,3.0,5,0,4,1971,100071.84,No,research & development
592,43,No,travel_frequently,470.06,12,2,other,593,1,F,58.76,3,2,research scientist,3,unknown,3796.67,9871.33,2,No,11,3.0,2,Part Time,1,19.0,3,3.0,5,0,2,1981,45560.0,No,research & development
593,31,No,travel_rarely,556.26,2,3,life sciences,594,3,F,69.53,1,2,manufacturing director,4,unknown,4492.84,11681.39,2,No,20,4.0,3,Full Time,0,11.0,2,3.0,5,0,2,1993,53914.08,Yes,research & development
594,36,No,travel_rarely,436.43,22,3,life sciences,595,4,M,54.55,1,1,laboratory technician,3,single,3525.0,9165.0,0,No,15,3.0,3,Full Time,0,,2,3.0,5,4,3,1988,42300.0,No,research & development
595,32,No,travel_rarely,1032.49,7,3,other,596,3,M,129.06,2,3,manager,4,divorced,8339.32,21682.23,9,,21,4.0,3,Part Time,1,10.0,3,2.0,5,0,1,1992,100071.84,Yes,general
596,36,No,travel_rarely,501.33,1,3,other,597,1,F,62.67,3,2,sales executive,3,single,4049.17,10527.83,1,,16,3.0,4,Part Time,0,5.0,3,3.0,5,0,3,1988,48590.0,Yes,sales
597,26,No,non-travel,290.04,13,1,other,598,2,M,36.26,3,1,sales representative,3,unknown,2342.59,6090.75,1,,11,3.0,3,Full Time,0,7.0,1,3.0,7,0,6,1998,28111.13,Yes,sales
