,employee_number,attrition,job_level,job_role,department,monthly_income,salary,percent_salary_hike,training_times_last_year,stock_option_level,hourly_rate,daily_rate,monthly_rate,standard_hours,overtime,business_travel,distance_from_home,remote_work,environment_satisfaction,job_involvement,job_satisfaction,performance_rating,relationship_satisfaction,work_life_balance,date_birth,age,gender,marital_status,education,education_field,num_companies_worked,total_working_years,years_at_company,years_since_last_promotion,years_with_curr_manager
415,416,No,2,sales executive,sales,3865.83,46390.0,16,2,1,59.82875,478.63,10051.17,Part Time,No,travel_frequently,12,Yes,1,4,1,3.0,4,2.0,1987,38,F,unknown,3,marketing,2,,15,6,13
416,417,No,2,laboratory technician,research & development,4469.17,53630.0,12,0,1,69.16625,553.33,11619.83,Part Time,No,non-travel,1,No,4,2,4,3.0,2,3.0,1988,37,F,nan,3,other,0,10.0,9,0,0
417,418,Yes,4,sales executive,sales,12783.92,153407.07,17,2,0,197.84625,1582.77,33238.2,Full Time,,non-travel,13,Yes,1,4,3,3.0,3,2.0,1968,57,M,nan,4,other,6,,19,3,8
418,419,No,2,laboratory technician,research & development,4492.84,53914.11,13,1,2,69.5325,556.26,11681.39,Part Time,,non-travel,29,No,2,3,3,3.0,1,3.0,1989,36,M,nan,3,other,4,10.0,8,7,7
419,420,No,2,research scientist,research & development,3400.83,40810.0,14,3,0,52.6325,421.06,8842.17,Part Time,Yes,non-travel,6,No,1,2,3,3.0,1,1.0,1980,45,F,single,3,medical,1,20.0,20,1,8
420,421,No,4,manager,general,12783.92,153407.07,14,5,1,197.84625,1582.77,33238.2,Full Time,,travel_rarely,10,No,3,3,1,3.0,3,3.0,1981,44,F,married,3,human resources,0,21.0,20,0,9
421,422,No,1,laboratory technician,research & development,2981.67,35780.0,12,2,0,46.145,369.16,7752.33,Full Time,No,travel_rarely,7,Yes,3,4,1,3.0,4,3.0,1997,28,M,single,3,other,0,8.0,7,0,7
422,423,Yes,3,healthcare representative,research & development,8339.32,100071.84,12,1,0,129.06125,1032.49,21682.23,Part Time,Yes,non-travel,14,Yes,3,3,4,3.0,1,3.0,1994,31,F,single,1,other,0,,8,7,7
423,424,No,4,research director,research & development,14440.0,173280.0,19,3,0,223.47625,1787.81,37544.0,Full Time,,non-travel,1,No,4,3,4,3.0,4,2.0,1969,56,F,nan,3,other,6,29.0,20,12,7
424,425,No,4,research director,research & development,12783.92,153407.07,13,4,2,197.84625,1582.77,33238.2,Full Time,No,non-travel,1,Yes,2,4,4,3.0,4,4.0,1968,57,M,divorced,4,other,2,31.0,7,0,0
425,426,No,2,laboratory technician,research & development,4492.84,53914.11,11,2,2,69.5325,556.26,11681.39,Part Time,No,non-travel,9,Yes,3,3,3,3.0,3,,1983,42,M,nan,4,other,3,11.0,8,0,7
426,427,No,3,sales executive,sales,8994.17,107930.0,18,5,1,139.195,1113.56,23384.83,Full Time,,non-travel,8,Yes,1,3,4,not rated,1,3.0,1992,33,M,divorced,2,other,1,13.0,13,9,9
427,428,Yes,3,sales executive,sales,8339.32,100071.84,11,1,1,129.06125,1032.49,21682.23,Full Time,No,non-travel,9,Yes,1,3,4,3.0,1,4.0,1977,48,M,divorced,3,marketing,4,28.0,7,4,3
428,429,No,3,healthcare representative,research & development,9042.5,108510.0,18,2,1,139.94375,1119.55,23510.5,Full Time,Yes,travel_rarely,20,No,2,1,1,3.0,2,3.0,1978,47,M,nan,3,medical,2,,7,0,7
429,430,No,3,healthcare representative,research & development,8721.67,104660.0,14,3,2,134.97875,1079.83,22676.33,Full Time,,travel_rarely,7,No,3,3,2,3.0,2,3.0,1974,51,M,divorced,4,life sciences,3,29.0,8,0,7
430,431,No,2,sales executive,sales,4492.84,53914.11,14,3,2,69.5325,556.26,11681.39,Part Time,,travel_rarely,19,Yes,3,2,3,3.0,3,3.0,1994,31,M,nan,3,other,1,10.0,10,0,4
431,432,Yes,1,research scientist,research & development,1968.33,23620.0,13,2,0,30.4625,243.7,5117.67,Part Time,No,non-travel,1,Yes,1,2,1,3.0,3,1.0,1994,31,M,single,4,technical degree,6,,9,0,7
432,433,No,2,healthcare representative,research & development,4492.84,53914.11,13,3,1,69.5325,556.26,11681.39,Part Time,No,non-travel,8,Yes,3,1,1,3.0,3,3.0,1994,31,F,nan,1,other,3,9.0,7,0,7
433,434,No,4,manager,human resources,12783.92,153407.07,21,2,0,197.84625,1582.77,33238.2,Full Time,Yes,travel_rarely,6,Yes,3,3,4,4.0,4,3.0,1983,42,M,single,2,other,1,21.0,21,7,7
434,435,No,2,sales executive,sales,5365.83,64390.0,14,2,1,83.0425,664.34,13951.17,Full Time,No,non-travel,16,Yes,3,3,3,3.0,3,,1975,50,F,divorced,4,life sciences,8,18.0,8,7,7
435,436,Yes,3,manufacturing director,research & development,8339.32,100071.84,16,4,1,129.06125,1032.49,21682.23,Part Time,,non-travel,2,Yes,3,2,4,3.0,2,3.0,1970,55,F,married,5,other,0,,33,1,9
436,437,No,5,research director,research & development,15943.72,191324.62,14,4,1,246.7475,1973.98,41453.67,Full Time,Yes,non-travel,7,No,2,3,4,not rated,4,2.0,1979,46,F,nan,3,medical,0,,22,1,10
437,438,No,2,laboratory technician,research & development,4807.5,57690.0,14,3,0,74.40125,595.21,12499.5,Full Time,,non-travel,5,No,3,1,1,3.0,1,3.0,1978,47,F,nan,5,other,1,10.0,10,1,4
438,439,No,2,sales executive,sales,3654.17,43850.04,15,2,1,56.5525,452.42,9500.83,Full Time,,non-travel,26,No,1,2,1,not rated,1,,1978,47,M,nan,3,marketing,1,10.0,10,4,5
439,440,No,2,manufacturing director,research & development,4492.84,53914.11,13,3,1,69.5325,556.26,11681.39,Part Time,,travel_frequently,10,Yes,3,4,4,3.0,1,,1989,36,M,nan,4,other,1,9.0,9,7,2
440,441,No,2,manufacturing director,research & development,4492.84,53914.08,13,3,3,69.5325,556.26,11681.39,Full Time,,non-travel,10,No,2,3,1,3.0,4,3.0,1984,41,M,nan,5,medical,2,,7,7,7
441,442,No,1,laboratory technician,research & development,3388.33,40660.0,11,3,2,52.43875,419.51,8809.67,Full Time,No,non-travel,36,Yes,3,2,1,3.0,1,3.0,1996,29,M,divorced,3,other,1,7.0,7,0,7
442,443,No,2,manufacturing director,research & development,4492.84,53914.08,19,3,2,69.5325,556.26,11681.39,Full Time,,travel_rarely,2,Yes,4,2,4,3.0,1,3.0,1978,47,F,divorced,2,other,1,10.0,10,3,9
443,444,No,2,human resources,human resources,4492.84,53914.08,11,3,0,69.5325,556.26,11681.39,Full Time,Yes,non-travel,1,Yes,1,3,4,3.0,3,3.0,1979,46,M,married,5,other,4,14.0,10,0,2
444,445,No,2,manufacturing director,research & development,4338.33,52060.0,17,6,2,67.14125,537.13,11279.67,Part Time,,non-travel,2,No,4,4,3,3.0,3,3.0,1998,27,M,divorced,1,life sciences,1,7.0,7,0,7
445,446,No,4,manager,general,12783.92,153407.07,14,2,0,197.84625,1582.77,33238.2,Full Time,,non-travel,1,Yes,3,3,3,3.0,1,3.0,1974,51,M,single,3,other,4,23.0,8,0,0
446,447,Yes,1,sales representative,sales,2212.5,26550.0,11,3,2,34.24125,273.93,5752.5,Full Time,,travel_frequently,7,No,4,3,3,not rated,3,3.0,1975,50,F,nan,2,other,2,19.0,9,7,7
447,448,No,1,laboratory technician,research & development,2141.67,25700.0,20,5,0,33.145,265.16,5568.33,Part Time,No,non-travel,7,Yes,4,3,4,4.0,3,3.0,1997,28,M,nan,3,medical,1,7.0,7,5,7
448,449,No,3,healthcare representative,research & development,8339.32,100071.84,19,2,1,129.06125,1032.49,21682.23,Part Time,,travel_rarely,2,Yes,3,4,4,not rated,2,3.0,1979,46,F,nan,3,life sciences,1,,8,6,7
449,450,No,2,sales representative,sales,3751.67,45020.0,15,2,0,58.06125,464.49,9754.33,Part Time,,non-travel,2,Yes,3,3,4,not rated,3,2.0,1987,38,F,single,4,other,3,17.0,13,6,7
450,451,No,2,healthcare representative,research & development,4492.84,53914.11,14,3,0,69.5325,556.26,11681.39,Part Time,No,non-travel,13,Yes,3,3,2,3.0,4,3.0,1977,48,M,single,4,other,6,19.0,10,0,9
451,452,No,2,manufacturing director,research & development,4492.84,53914.11,16,3,1,69.5325,556.26,11681.39,Part Time,,non-travel,27,Yes,4,3,3,3.0,2,3.0,1988,37,M,married,4,life sciences,2,17.0,7,0,7
452,453,No,1,research scientist,research & development,4140.0,49680.0,16,2,0,64.07125,512.57,10764.0,Full Time,,travel_frequently,2,No,4,2,1,3.0,4,,1993,32,F,nan,4,other,0,10.0,9,0,7
453,454,No,3,sales executive,sales,8339.32,100071.84,11,2,1,129.06125,1032.49,21682.23,Part Time,No,non-travel,15,Yes,3,2,1,3.0,1,3.0,1993,32,M,nan,2,marketing,2,,7,1,7
454,455,No,2,sales executive,sales,4289.17,51470.0,15,2,0,66.38,531.04,11151.83,Part Time,No,non-travel,2,Yes,4,3,2,3.0,4,2.0,1990,35,F,nan,3,marketing,8,13.0,11,1,7
455,456,No,1,research scientist,research & development,2265.0,27180.0,14,3,0,35.05375,280.43,5889.0,Part Time,No,non-travel,5,Yes,2,3,2,3.0,2,3.0,1991,34,M,single,4,other,2,12.0,7,0,7
456,457,No,1,human resources,human resources,2949.17,35390.04,13,5,0,45.64125,365.13,7667.83,Full Time,No,travel_rarely,2,No,2,3,4,3.0,2,3.0,1980,45,M,nan,3,life sciences,0,,9,1,8
457,458,No,2,sales executive,sales,4556.67,54680.0,14,3,2,70.52,564.16,11847.33,Full Time,,travel_rarely,29,Yes,1,2,4,3.0,1,3.0,1992,33,F,nan,4,marketing,1,,12,5,7
458,459,Yes,2,sales executive,sales,4844.17,58130.04,18,2,0,74.96875,599.75,12594.83,Full Time,,non-travel,27,No,3,3,4,3.0,4,3.0,1988,37,M,nan,3,other,1,,10,7,7
459,460,No,2,manufacturing director,research & development,4492.84,53914.11,14,6,1,69.5325,556.26,11681.39,Full Time,No,non-travel,2,No,2,3,4,3.0,3,3.0,1988,37,M,divorced,2,medical,2,15.0,7,1,7
460,461,No,3,manufacturing director,research & development,8055.83,96670.0,14,3,0,124.67375,997.39,20945.17,Part Time,No,non-travel,10,No,1,3,3,3.0,2,3.0,1993,32,F,single,3,medical,9,9.0,7,0,2
461,462,Yes,2,healthcare representative,research & development,4492.84,53914.08,22,2,1,69.5325,556.26,11681.39,Full Time,No,travel_rarely,19,No,4,3,2,4.0,4,4.0,1977,48,F,married,2,medical,4,13.0,9,3,7
462,463,No,2,sales executive,sales,4295.0,51540.0,22,3,2,66.47,531.76,11167.0,Part Time,,non-travel,2,No,3,3,3,4.0,2,4.0,1978,47,F,married,4,other,4,10.0,8,5,7
463,464,No,2,sales executive,sales,4729.17,56750.0,20,5,1,73.19,585.52,12295.83,Full Time,,travel_frequently,2,No,1,3,4,4.0,3,3.0,1980,45,M,married,4,life sciences,1,7.0,7,7,7
464,465,Yes,3,sales executive,sales,6095.0,73140.0,21,2,3,94.3275,754.62,15847.0,Part Time,,non-travel,10,Yes,3,3,2,4.0,3,3.0,1977,48,F,nan,3,life sciences,5,14.0,8,0,7
465,466,No,4,manager,research & development,12783.92,153407.04,11,3,1,197.84625,1582.77,33238.2,Full Time,,travel_rarely,1,Yes,1,3,1,3.0,1,,1983,42,M,nan,4,other,2,22.0,19,11,16
466,467,No,2,sales executive,sales,4492.84,53914.11,14,5,0,69.5325,556.26,11681.39,Part Time,No,travel_rarely,2,No,1,4,3,3.0,2,2.0,1996,29,F,single,2,other,0,9.0,8,0,7
467,468,No,3,research director,research & development,8339.32,100071.84,13,3,1,129.06125,1032.49,21682.23,Full Time,No,non-travel,6,Yes,3,3,1,3.0,2,4.0,1981,44,M,married,3,medical,9,18.0,13,5,7
468,469,No,1,laboratory technician,research & development,2342.59,28111.13,18,3,1,36.255,290.04,6090.75,Part Time,No,travel_frequently,6,Yes,3,4,4,3.0,1,3.0,1997,28,M,married,3,other,0,8.0,7,7,7
469,470,No,2,sales executive,sales,4492.84,53914.11,12,2,1,69.5325,556.26,11681.39,Part Time,,travel_frequently,1,Yes,3,2,4,3.0,3,3.0,1995,30,M,married,2,life sciences,1,7.0,7,0,7
470,471,No,2,research scientist,research & development,4492.84,53914.11,18,4,1,69.5325,556.26,11681.39,Part Time,,non-travel,14,No,3,3,2,3.0,3,4.0,1976,49,M,married,4,other,8,,8,1,7
471,472,No,3,sales executive,sales,8339.32,100071.84,18,2,1,129.06125,1032.49,21682.23,Part Time,No,travel_rarely,13,Yes,4,3,3,3.0,3,2.0,1989,36,M,divorced,4,medical,1,9.0,8,1,1
472,473,No,1,laboratory technician,research & development,2342.59,28111.13,13,6,0,36.255,290.04,6090.75,Part Time,No,non-travel,1,Yes,3,3,1,3.0,4,,1997,28,M,single,3,medical,0,8.0,7,7,6
473,474,No,2,sales executive,sales,4492.84,53914.11,14,5,0,69.5325,556.26,11681.39,Part Time,,travel_rarely,9,No,4,3,4,3.0,1,,1996,29,M,nan,3,other,1,,7,0,7
474,475,Yes,2,sales executive,sales,4492.84,53914.11,11,4,0,69.5325,556.26,11681.39,Part Time,Yes,travel_frequently,26,Yes,1,3,4,3.0,3,3.0,1992,33,M,nan,4,marketing,1,10.0,10,0,8
475,476,No,2,healthcare representative,research & development,4492.84,53914.08,20,2,3,69.5325,556.26,11681.39,Full Time,,travel_frequently,7,Yes,4,3,3,not rated,3,3.0,1990,35,M,divorced,2,life sciences,1,9.0,9,2,8
476,477,No,3,research director,research & development,8339.32,100071.84,20,2,1,129.06125,1032.49,21682.23,Part Time,No,non-travel,10,Yes,3,3,3,4.0,3,4.0,1992,33,F,married,3,other,4,13.0,11,4,8
477,478,No,2,research scientist,research & development,4248.33,50980.0,19,5,0,65.7475,525.98,11045.67,Part Time,No,non-travel,9,Yes,2,3,3,3.0,2,3.0,1988,37,M,nan,4,medical,1,10.0,10,0,8
478,479,No,2,healthcare representative,research & development,4492.84,53914.11,13,6,1,69.5325,556.26,11681.39,Part Time,Yes,travel_rarely,15,Yes,2,3,4,not rated,1,3.0,1990,35,F,married,2,other,0,,9,8,1
479,480,No,2,research scientist,research & development,4492.84,53914.08,13,2,0,69.5325,556.26,11681.39,Full Time,No,travel_rarely,24,No,1,3,4,not rated,1,3.0,1984,41,M,single,1,life sciences,7,,7,1,7
480,481,No,3,sales executive,sales,8339.32,100071.84,19,2,2,129.06125,1032.49,21682.23,Part Time,No,travel_rarely,46,Yes,4,2,4,3.0,3,3.0,1987,38,F,unknown,3,other,0,10.0,9,3,4
481,482,No,4,manufacturing director,research & development,11308.33,135700.0,23,3,1,175.01,1400.08,29401.67,Full Time,No,travel_rarely,28,Yes,1,2,2,not rated,3,3.0,1982,43,F,married,4,life sciences,0,21.0,20,0,10
482,483,No,2,sales executive,sales,5593.33,67120.0,21,2,2,86.56375,692.51,14542.67,Full Time,No,non-travel,28,No,4,2,3,4.0,4,3.0,1989,36,F,married,3,marketing,1,8.0,8,1,7
483,484,No,2,sales executive,sales,4492.84,53914.08,11,1,1,69.5325,556.26,11681.39,Full Time,No,travel_rarely,10,Yes,1,3,4,3.0,3,3.0,1985,40,F,married,2,other,1,10.0,10,1,9
484,485,No,3,healthcare representative,research & development,8325.83,99910.0,15,5,1,128.8525,1030.82,21647.17,Part Time,,travel_rarely,6,Yes,4,2,1,3.0,1,3.0,1984,41,M,nan,1,other,4,,7,1,7
485,486,No,3,research director,research & development,8339.32,100071.84,11,4,0,129.06125,1032.49,21682.23,Part Time,No,travel_rarely,7,No,1,3,2,not rated,3,3.0,1989,36,F,single,4,other,0,,12,2,11
486,487,No,3,healthcare representative,research & development,8540.0,102480.0,14,4,1,132.16625,1057.33,22204.0,Full Time,,travel_rarely,7,Yes,1,2,4,not rated,4,3.0,1979,46,F,married,4,medical,3,24.0,22,5,17
487,488,No,2,sales executive,sales,4492.84,53914.11,21,4,0,69.5325,556.26,11681.39,Part Time,,non-travel,5,Yes,1,3,4,not rated,3,3.0,1977,48,M,single,4,other,4,14.0,9,0,8
488,489,No,4,manager,research & development,12783.92,153407.07,13,2,1,197.84625,1582.77,33238.2,Full Time,,travel_frequently,10,No,4,2,1,3.0,2,2.0,1982,43,M,divorced,3,life sciences,4,,7,7,7
489,490,No,3,healthcare representative,research & development,9115.0,109380.0,25,1,0,141.065,1128.52,23699.0,Full Time,No,non-travel,2,No,3,3,3,4.0,4,3.0,1984,41,F,single,4,other,0,20.0,19,11,8
490,491,No,1,laboratory technician,research & development,2160.83,25930.0,11,4,1,33.44125,267.53,5618.17,Part Time,Yes,travel_rarely,2,Yes,4,2,1,3.0,3,3.0,1981,44,F,divorced,3,medical,0,10.0,9,7,8
491,492,No,3,manager,research & development,9898.33,118779.95999999999,11,2,2,153.18875,1225.51,25735.67,Full Time,,travel_frequently,5,Yes,4,3,2,not rated,2,3.0,1990,35,F,married,4,other,6,12.0,10,8,8
492,493,No,3,manufacturing director,research & development,6745.83,80950.0,13,5,0,104.4,835.2,17539.17,Part Time,No,travel_rarely,5,Yes,3,3,2,3.0,4,3.0,1988,37,M,single,4,technical degree,0,17.0,16,0,13
493,494,Yes,3,manager,general,8339.32,100071.84,12,2,0,129.06125,1032.49,21682.23,Part Time,,travel_rarely,15,Yes,2,3,3,3.0,4,4.0,1990,35,M,married,1,medical,7,15.0,7,7,7
494,495,No,4,manufacturing director,research & development,12783.92,153407.07,15,3,0,197.84625,1582.77,33238.2,Full Time,No,travel_rarely,6,No,2,3,3,3.0,3,3.0,1983,42,F,single,3,life sciences,7,22.0,20,5,13
495,496,No,5,manager,general,15943.72,191324.62,15,2,3,246.7475,1973.98,41453.67,Full Time,No,travel_rarely,10,No,2,2,4,3.0,2,2.0,1982,43,M,divorced,4,human resources,3,23.0,21,12,6
496,497,No,2,healthcare representative,research & development,4492.84,53914.11,19,2,0,69.5325,556.26,11681.39,Part Time,No,non-travel,7,No,4,2,1,3.0,1,1.0,1996,29,F,nan,3,other,8,,7,0,7
497,498,No,4,manager,general,14046.67,168560.0,11,3,0,217.38875,1739.11,36521.33,Full Time,,travel_rarely,3,Yes,3,2,1,3.0,1,4.0,1971,54,M,nan,4,marketing,1,,34,1,16
498,499,No,4,manager,general,12783.92,153407.07,14,2,1,197.84625,1582.77,33238.2,Full Time,No,travel_rarely,26,No,1,3,3,3.0,3,2.0,1972,53,F,married,4,marketing,2,,20,4,17
499,500,No,2,sales executive,sales,3780.83,45370.0,22,2,1,58.5125,468.1,9830.17,Part Time,,travel_rarely,2,Yes,3,3,4,4.0,1,3.0,1976,49,F,nan,2,marketing,0,8.0,7,7,7
500,501,No,4,manager,research & development,14936.67,179240.0,11,3,1,231.1625,1849.3,38835.33,Full Time,,non-travel,2,No,1,3,1,3.0,4,3.0,1973,52,M,divorced,4,other,1,31.0,31,14,7
501,502,No,2,healthcare representative,research & development,3345.0,40140.0,25,2,1,51.7675,414.14,8697.0,Part Time,,travel_rarely,21,Yes,4,3,4,4.0,4,1.0,1988,37,F,married,1,life sciences,1,10.0,10,0,7
502,503,No,4,manufacturing director,research & development,10618.33,127420.0,16,3,1,164.33125,1314.65,27607.67,Full Time,No,travel_rarely,1,Yes,4,2,4,3.0,3,3.0,1984,41,F,married,1,other,1,,21,11,8
503,504,No,3,manufacturing director,research & development,8339.32,100071.84,13,2,0,129.06125,1032.49,21682.23,Part Time,,travel_frequently,22,No,4,3,1,3.0,3,3.0,1984,41,F,single,3,medical,1,,21,2,8
504,505,No,1,research scientist,research & development,2813.33,33760.0,13,3,0,43.54,348.32,7314.67,Full Time,No,non-travel,7,No,2,4,3,3.0,3,3.0,1982,43,F,nan,2,other,1,,10,0,8
505,506,Yes,3,human resources,human resources,8735.0,104820.0,14,1,1,135.185,1081.48,22711.0,Full Time,No,non-travel,1,Yes,2,2,1,not rated,4,3.0,1979,46,M,married,2,medical,9,24.0,20,3,6
506,507,No,4,manager,general,12783.92,153407.04,17,3,1,197.84625,1582.77,33238.2,Full Time,No,non-travel,2,No,4,3,1,3.0,4,3.0,1981,44,M,nan,2,medical,0,23.0,22,13,7
507,508,No,3,healthcare representative,research & development,8339.32,100071.84,19,4,0,129.06125,1032.49,21682.23,Part Time,,travel_rarely,7,Yes,2,3,2,3.0,4,,1971,54,M,single,4,life sciences,7,18.0,8,4,0
508,509,No,1,human resources,human resources,2342.59,28111.13,13,2,1,36.255,290.04,6090.75,Part Time,No,non-travel,1,Yes,3,4,3,3.0,4,4.0,1985,40,M,nan,3,other,1,7.0,7,5,0
509,510,No,1,human resources,human resources,2342.59,28111.13,12,3,0,36.255,290.04,6090.75,Part Time,,non-travel,1,Yes,4,3,1,3.0,3,4.0,1977,48,F,nan,2,life sciences,6,10.0,7,5,7
510,511,No,2,research scientist,research & development,3540.83,42490.0,11,3,0,54.79875,438.39,9206.17,Part Time,,non-travel,4,No,3,3,3,3.0,2,3.0,1988,37,M,single,4,life sciences,1,,9,1,1
511,512,No,2,manufacturing director,research & development,5457.5,65490.0,14,2,2,84.46125,675.69,14189.5,Full Time,,travel_rarely,29,Yes,3,1,2,not rated,2,2.0,1995,30,M,married,1,life sciences,1,8.0,8,1,7
512,513,No,4,research director,research & development,12783.92,153407.04,13,1,1,197.84625,1582.77,33238.2,Full Time,No,non-travel,28,Yes,4,3,1,3.0,3,4.0,1979,46,M,married,3,life sciences,3,,20,14,17
513,514,No,4,research director,research & development,12009.17,144110.04,13,2,0,185.85625,1486.85,31223.83,Full Time,,non-travel,22,No,3,1,4,3.0,4,3.0,1973,52,M,nan,5,other,1,,32,13,9
514,515,No,5,manager,general,16321.67,195860.0,21,3,1,252.5975,2020.78,42436.33,Full Time,No,travel_rarely,23,Yes,3,2,4,4.0,3,3.0,1968,57,M,nan,5,marketing,1,36.0,36,2,13
515,516,No,3,sales executive,sales,6864.17,82370.0,11,3,1,106.23125,849.85,17846.83,Part Time,No,non-travel,6,Yes,4,4,3,3.0,1,3.0,1984,41,M,married,3,other,2,11.0,7,7,6
516,517,No,1,laboratory technician,research & development,2675.83,32109.96,14,3,1,41.41125,331.29,6957.17,Full Time,,non-travel,13,Yes,1,3,1,3.0,4,2.0,1974,51,F,nan,4,other,1,10.0,9,1,4
517,518,No,4,research director,research & development,13920.0,167040.0,11,2,0,215.42875,1723.43,36192.0,Full Time,,non-travel,28,No,4,2,2,not rated,3,3.0,1978,47,F,single,2,technical degree,1,21.0,21,8,6
518,519,No,3,sales executive,sales,8339.32,100071.84,12,5,1,129.06125,1032.49,21682.23,Part Time,,non-travel,2,No,3,3,4,3.0,2,2.0,1977,48,M,nan,3,other,4,,10,0,3
519,520,No,1,research scientist,research & development,3978.33,47740.0,19,2,1,61.57,492.56,10343.67,Full Time,No,non-travel,15,No,4,2,1,3.0,4,,1996,29,F,married,3,other,0,,7,7,3
520,521,No,5,manager,general,15943.72,191324.63999999998,11,2,0,246.7475,1973.98,41453.67,Full Time,,travel_rarely,2,Yes,1,3,3,3.0,1,2.0,1981,44,M,married,3,other,5,24.0,22,4,14
521,522,No,2,sales executive,sales,4492.84,53914.11,14,3,0,69.5325,556.26,11681.39,Part Time,,non-travel,2,Yes,4,2,2,3.0,4,2.0,1974,51,M,married,3,other,2,17.0,9,0,8
522,523,No,2,laboratory technician,research & development,4492.84,53914.11,12,3,0,69.5325,556.26,11681.39,Part Time,Yes,travel_rarely,15,Yes,4,2,3,3.0,4,3.0,1994,31,F,single,2,life sciences,0,10.0,9,0,8
523,524,No,2,sales executive,sales,3806.67,45680.0,20,2,0,58.9125,471.3,9897.33,Part Time,No,non-travel,12,No,1,3,3,4.0,3,3.0,1989,36,M,nan,4,marketing,0,,9,8,7
524,525,No,2,manufacturing director,research & development,4994.17,59930.0,18,2,1,77.29125,618.33,12984.83,Full Time,No,non-travel,1,No,1,2,3,3.0,3,,1986,39,M,divorced,4,other,1,,7,0,7
525,526,No,2,manufacturing director,research & development,5415.83,64990.0,13,3,0,83.81625,670.53,14081.17,Full Time,No,non-travel,11,Yes,2,2,2,3.0,3,3.0,1987,38,M,single,3,other,1,6.0,6,0,3
526,527,No,1,research scientist,research & development,2876.67,34520.0,13,2,0,44.52,356.16,7479.33,Full Time,,non-travel,29,Yes,3,3,4,3.0,2,2.0,1978,47,M,single,3,other,5,9.0,6,0,3
527,528,No,1,research scientist,research & development,2342.59,28111.13,19,1,0,36.255,290.04,6090.75,Part Time,No,travel_rarely,15,No,3,3,4,3.0,1,3.0,1994,31,M,nan,3,other,1,6.0,6,1,5
528,529,No,2,manufacturing director,research & development,5330.83,63970.0,20,6,1,82.50125,660.01,13860.17,Full Time,No,non-travel,1,No,3,3,2,4.0,1,1.0,1997,28,F,nan,3,other,1,6.0,6,1,4
529,530,No,2,sales executive,sales,4492.84,53914.11,16,1,0,69.5325,556.26,11681.39,Part Time,No,non-travel,9,Yes,2,3,4,3.0,4,3.0,1995,30,M,single,4,life sciences,1,,7,0,7
530,531,No,2,healthcare representative,research & development,4492.84,53914.11,11,4,3,69.5325,556.26,11681.39,Full Time,No,travel_frequently,30,Yes,4,2,4,3.0,4,4.0,1981,44,F,married,4,technical degree,0,7.0,6,0,4
531,532,No,2,sales executive,sales,4492.84,53914.11,13,2,0,69.5325,556.26,11681.39,Part Time,Yes,travel_rarely,2,Yes,2,3,4,3.0,3,4.0,1992,33,M,nan,1,life sciences,4,10.0,6,0,5
532,533,No,3,manufacturing director,research & development,8339.32,100071.84,17,3,0,129.06125,1032.49,21682.23,Part Time,,travel_rarely,47,Yes,4,3,4,3.0,4,4.0,1986,39,F,single,3,other,4,,6,1,2
533,534,No,3,sales executive,sales,8339.32,100071.84,13,6,1,129.06125,1032.49,21682.23,Part Time,No,non-travel,9,No,1,3,2,3.0,4,3.0,1986,39,M,divorced,4,other,1,9.0,9,7,7
534,535,No,2,manufacturing director,research & development,4492.84,53914.11,12,2,1,69.5325,556.26,11681.39,Part Time,,travel_rarely,1,No,2,3,2,3.0,2,2.0,1986,39,F,married,4,life sciences,6,8.0,6,4,3
535,536,No,1,research scientist,research & development,2270.83,27250.0,11,3,2,35.14375,281.15,5904.17,Part Time,,travel_rarely,23,Yes,2,4,4,3.0,2,3.0,1999,26,M,nan,3,medical,1,,6,1,4
536,537,No,5,manager,general,15943.72,191324.63999999998,11,2,1,246.7475,1973.98,41453.67,Full Time,No,non-travel,3,No,1,3,2,3.0,3,3.0,1973,52,M,married,3,other,1,,32,10,7
537,538,No,1,research scientist,research & development,3018.33,36220.0,13,3,1,46.7125,373.7,7847.67,Full Time,Yes,non-travel,1,Yes,2,2,4,3.0,4,3.0,1989,36,M,nan,2,life sciences,1,6.0,6,1,3
538,539,No,2,sales executive,sales,4492.84,53914.11,20,3,2,69.5325,556.26,11681.39,Full Time,,travel_frequently,3,No,4,4,4,not rated,2,3.0,1996,29,F,nan,1,medical,1,,6,0,4
539,540,No,2,sales executive,sales,5150.0,61800.0,23,5,0,79.7025,637.62,13390.0,Full Time,No,non-travel,42,No,4,3,4,4.0,2,2.0,1998,27,F,single,1,other,1,6.0,6,1,4
540,541,No,2,sales executive,sales,5228.33,62740.0,22,5,0,80.915,647.32,13593.67,Full Time,No,non-travel,25,Yes,4,3,4,4.0,3,3.0,1989,36,M,single,3,other,1,6.0,6,1,4
541,542,No,1,research scientist,research & development,3650.83,43810.0,11,3,0,56.50125,452.01,9492.17,Full Time,,non-travel,2,Yes,3,2,1,not rated,3,3.0,1989,36,F,nan,4,other,1,6.0,6,1,3
542,543,No,3,manufacturing director,research & development,8339.32,100071.84,21,3,0,129.06125,1032.49,21682.23,Full Time,No,non-travel,7,No,3,3,3,4.0,2,4.0,1988,37,M,single,3,other,3,17.0,8,1,6
543,544,No,1,research scientist,research & development,2132.5,25590.0,11,3,0,33.0025,264.02,5544.5,Part Time,,non-travel,16,No,1,2,1,3.0,4,2.0,1988,37,F,nan,1,medical,1,6.0,6,1,1
