,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,roledepartament,remotework
344,43,No,,1979.82,no data,1,3,no data,345,4,M,,2,5, manager ,3,,,41576.17,1,No,12,,2,Full Time,1,22.0,3,3.0,22,2,10,1982,191890.0,no data,No
345,30,Yes,,228.63, research & development ,-35,2,no data,346,3,F,,1,1, research scientist ,2,,1846.67,4801.33,7,Yes,13,3.0,4,Part Time,0,10.0,4,3.0,7,3,7,1995,22160.0, research scientist  -  research & development ,Yes
346,38,No,,1208.48, research & development ,8,3,no data,347,1,F,,4,3, research director ,1,Married,9760.83,25378.17,9,,14,3.0,1,Full Time,1,10.0,2,3.0,8,0,5,1987,117130.0, research director  -  research & development ,No
347,32,No,,547.24,no data,27,5,marketing,348,3,M,,3,2, sales executive ,4,Divorced,4420.0,11492.0,7,No,23,,4,,1,10.0,2,2.0,8,7,7,1993,53040.0,no data,Yes
348,58,No,travel_rarely,1145.55,no data,9,3,no data,349,3,M,143.19,3,4, healthcare representative ,4,Married,9252.5,24056.5,7,No,11,3.0,3,Full Time,0,30.0,1,2.0,10,1,1,1967,111030.0,no data,No
349,47,No,travel_rarely,684.25,no data,2,2,no data,350,2,M,,1,2, sales representative ,3,Single,5526.67,14369.33,0,No,13,3.0,1,Full Time,0,9.0,3,3.0,8,3,1,1978,66320.0,no data,Yes
350,38,No,non-travel,782.79,no data,8,4,no data,351,1,M,,2,3, sales executive ,1,Single,6322.5,16438.5,1,,15,3.0,2,Part Time,0,10.0,1,3.0,10,0,9,1987,75870.0,no data,No
351,31,No,,447.26,no data,27,3,medical,352,2,F,,3,2, healthcare representative ,3,Married,3612.5,9392.5,4,No,12,3.0,1,Part Time,1,11.0,3,2.0,8,1,1,1994,43350.0,no data,Yes
352,40,No,,616.98,no data,2,4,life sciences,353,1,F,,4,2, manufacturing director ,1,Single,4983.33,12956.67,6,,12,3.0,4,Full Time,0,17.0,2,3.0,15,4,12,1985,59800.0,no data,Yes
353,42,No,,437.87,no data,-13,2,medical,354,1,F,,4,2, healthcare representative ,2,,3536.67,9195.33,1,No,24,4.0,4,,1,8.0,2,3.0,8,3,7,1983,,no data,Yes
354,44,No,travel_frequently,1973.98,no data,8,3,no data,355,2,M,,3,5, manager ,4,,15943.72,41453.67,1,No,13,3.0,2,,1,24.0,4,2.0,24,14,9,1981,,no data,Yes
355,38,No,travel_rarely,539.4,no data,1,3,other,356,3,F,,3,2, manufacturing director ,2,,4356.67,11327.33,0,,15,3.0,1,Part Time,1,,2,3.0,9,0,5,1987,52280.0,no data,No
356,31,No,travel_rarely,278.57,no data,23,2,no data,357,3,M,,4,1, research scientist ,3,Married,2250.0,5850.0,1,,24,4.0,3,Part Time,1,10.0,3,3.0,10,0,7,1994,27000.0,no data,Yes
357,57,Yes,,556.26,no data,2,1,medical,358,3,M,69.53,3,2, sales executive ,4,Single,,11681.39,4,,16,3.0,3,Part Time,0,,3,2.0,9,7,3,1968,53914.11,no data,No
358,30,No,,556.26, sales ,2,4,no data,359,2,F,,3,2, sales executive ,2,,,11681.39,1,,20,4.0,1,Part Time,0,8.0,2,3.0,8,7,5,1995,53914.11, sales executive  -  sales ,Yes
359,28,Yes,,244.11,no data,5,2,medical,360,3,F,,2,1, research scientist ,3,Married,1971.67,5126.33,1,,14,3.0,1,Part Time,1,8.0,2,3.0,8,1,7,1997,23660.0,no data,Yes
360,46,No,,290.04,no data,9,2,no data,361,2,M,,3,1, research scientist ,1,,2342.59,6090.75,1,Yes,13,3.0,4,,0,8.0,0,3.0,8,7,1,1979,,no data,Yes
361,43,Yes,,290.04, research & development ,2,4,life sciences,362,2,F,,1,1, laboratory technician ,4,Divorced,2342.59,6090.75,4,Yes,13,3.0,3,,1,,1,2.0,7,1,0,1982,, laboratory technician  -  research & development ,Yes
362,33,No,travel_rarely,240.29,no data,7,4,no data,363,2,M,,2,1, sales representative ,3,,1940.83,5046.17,3,,15,,2,Part Time,0,,2,4.0,7,5,2,1992,23290.0,no data,No
363,28,No,travel_frequently,443.03, sales ,-28,3,medical,364,2,M,,2,2, sales executive ,1,,,9303.67,1,,12,3.0,2,Part Time,0,,2,3.0,7,0,7,1997,42940.0, sales executive  -  sales ,Yes
364,33,No,,556.26,no data,12,3,medical,365,4,F,,3,2, healthcare representative ,4,,,11681.39,0,,11,3.0,3,Part Time,2,10.0,2,1.0,9,8,5,1992,53914.11,no data,No
365,34,No,,693.85,no data,3,4,medical,366,3,F,,3,2, manufacturing director ,1,Married,,14570.83,1,,12,3.0,3,Full Time,1,8.0,2,4.0,8,6,3,1991,67250.0,no data,No
366,38,Yes,travel_rarely,1065.28,no data,3,1,life sciences,367,3,M,,2,3, sales executive ,4,Married,8604.17,22370.83,1,,11,,1,Full Time,1,,6,3.0,16,3,7,1987,103250.0,no data,No
367,47,No,non-travel,458.82,no data,-47,2,no data,368,4,M,,3,2, laboratory technician ,2,,,9635.17,1,,12,3.0,2,Part Time,0,,5,2.0,9,0,8,1978,44470.0,no data,Yes
368,41,No,travel_rarely,1032.49,no data,2,5,no data,369,1,M,129.06,4,3, sales executive ,3,Single,,21682.23,0,No,18,3.0,4,Part Time,0,9.0,3,3.0,8,0,7,1984,100071.84,no data,No
369,38,No,non-travel,556.26,no data,8,4,technical degree,370,1,M,,3,2, sales executive ,4,Divorced,4492.84,11681.39,4,No,13,,4,Part Time,2,12.0,3,3.0,7,0,7,1987,53914.11,no data,Yes
370,48,No,,1118.93,no data,7,2,medical,371,4,M,139.87,3,3, manufacturing director ,3,,9037.5,23497.5,6,,13,3.0,2,Full Time,1,,3,3.0,8,0,7,1977,108450.0,no data,No
371,56,No,travel_rarely,1032.49,no data,17,3,technical degree,372,3,F,,3,3, manufacturing director ,3,,8339.32,21682.23,8,,11,,3,Part Time,1,22.0,2,3.0,10,0,8,1969,100071.84,no data,Yes
372,32,No,travel_rarely,1032.49,no data,8,2,no data,373,2,F,,4,3, research director ,1,,8339.32,21682.23,0,Yes,12,3.0,3,Part Time,3,,4,2.0,8,1,7,1993,100071.84,no data,Yes
373,28,No,,564.57,no data,2,2,medical,374,4,M,70.57,4,2, manufacturing director ,4,Married,,11856.0,1,,12,3.0,2,Full Time,0,,2,3.0,8,1,3,1997,54720.0,no data,No
374,57,No,travel_frequently,658.77,no data,18,4,medical,375,3,M,,3,2, healthcare representative ,2,Married,5320.83,13834.17,3,,14,3.0,4,Full Time,2,,3,3.0,8,6,7,1968,63850.0,no data,Yes
375,52,No,non-travel,654.85, sales ,1,3,life sciences,376,4,F,,3,2, sales executive ,3,Married,,13751.83,0,,12,3.0,1,Full Time,1,,3,3.0,18,0,13,1973,63470.0, sales executive  -  sales ,Yes
376,34,No,non-travel,290.04,no data,29,4,no data,377,4,F,,3,1, laboratory technician ,3,Single,,6090.75,9,No,12,3.0,2,Part Time,0,10.0,2,3.0,8,7,7,1991,28111.13,no data,Yes
377,55,No,travel_frequently,776.39,no data,2,3,marketing,378,3,F,97.05,2,3, sales executive ,2,,,16304.17,2,,12,3.0,1,Part Time,1,30.0,2,,15,6,12,1970,75250.0,no data,Yes
378,42,No,travel_rarely,556.26,no data,26,3,no data,379,3,M,,3,2, sales executive ,1,Married,4492.84,11681.39,1,,14,3.0,2,Part Time,1,8.0,3,2.0,7,7,5,1983,53914.11,no data,No
379,57,No,,1582.77,no data,2,1,no data,380,3,M,,2,4, manager ,1,Single,12783.92,33238.2,7,No,15,3.0,2,,0,,3,4.0,9,6,2,1968,,no data,Yes
380,30,Yes,non-travel,1032.49,no data,24,2,no data,381,2,M,,2,3, healthcare representative ,1,Single,8339.32,21682.23,1,No,12,3.0,1,Part Time,0,10.0,2,2.0,10,1,9,1995,100071.84,no data,No
381,30,No,travel_rarely,377.62,no data,10,3,other,382,3,F,,3,2, research scientist ,3,Single,3050.0,7930.0,3,No,13,3.0,4,,0,,4,4.0,8,1,7,1995,,no data,Yes
382,37,Yes,,1032.49,no data,4,3,technical degree,383,4,M,,3,3, sales executive ,1,,,21682.23,0,,22,4.0,1,Part Time,0,9.0,2,3.0,8,4,7,1988,100071.84,no data,Yes
383,35,Yes,travel_frequently,556.26, research & development ,-36,4,medical,384,3,F,69.53,2,2, research scientist ,3,Single,4492.84,11681.39,1,No,22,4.0,2,Part Time,0,14.0,4,3.0,13,3,8,1990,53914.11, research scientist  -  research & development ,Yes
384,27,Yes,,290.04, research & development ,4,1,technical degree,385,4,M,,3,1, laboratory technician ,4,Married,,6090.75,1,,15,,2,Part Time,1,7.0,3,4.0,7,5,6,1998,28111.13, laboratory technician  -  research & development ,Yes
385,40,No,,901.75, sales ,10,4,no data,386,3,M,,2,3, sales executive ,3,,7283.33,18936.67,0,Yes,14,3.0,2,Part Time,2,9.0,2,,8,2,7,1985,87400.0, sales executive  -  sales ,Yes
386,30,No,,1032.49,no data,-12,3,no data,387,1,F,,3,3, manufacturing director ,2,,,21682.23,0,,17,3.0,2,Part Time,3,,3,2.0,9,1,7,1995,100071.84,no data,Yes
387,45,No,travel_frequently,1032.49,no data,27,3,life sciences,388,3,F,129.06,3,3, manufacturing director ,1,Married,,21682.23,8,No,11,3.0,3,Part Time,1,18.0,1,3.0,8,0,1,1980,100071.84,no data,No
388,41,Yes,travel_frequently,1582.77, research & development ,2,3,life sciences,389,1,M,197.85,3,4, healthcare representative ,4,,12783.92,33238.2,7,No,11,3.0,4,Full Time,3,21.0,4,3.0,18,11,5,1984,153407.07, healthcare representative  -  research & development ,No
389,42,No,travel_rarely,1973.98,no data,14,3,no data,390,3,M,,2,5, research director ,3,,,41453.67,1,No,14,,1,Full Time,0,,2,,20,4,9,1983,191324.62,no data,Yes
390,31,No,travel_rarely,556.26,no data,8,1,medical,391,2,M,,2,2, manufacturing director ,4,Married,4492.84,11681.39,1,,15,3.0,3,,1,10.0,2,2.0,10,1,2,1994,,no data,Yes
391,42,No,,1392.75,no data,-32,4,no data,392,2,F,,3,3, research director ,3,,11249.17,29247.83,9,No,17,3.0,3,Full Time,0,20.0,3,2.0,18,2,13,1983,134990.0,no data,No
392,28,No,travel_rarely,290.04,no data,3,4,no data,393,1,M,,4,1, laboratory technician ,4,,2342.59,6090.75,1,,22,4.0,2,Part Time,1,8.0,2,3.0,8,0,7,1997,28111.13,no data,Yes
393,37,No,travel_rarely,1032.49,no data,2,3,no data,394,3,M,,2,3, manufacturing director ,2,Divorced,8339.32,21682.23,2,No,18,3.0,2,,1,15.0,2,4.0,7,6,4,1988,,no data,Yes
394,55,No,,1973.98, research & development ,7,2,medical,395,4,F,,3,5, manager ,3,Divorced,15943.72,41453.67,3,No,18,3.0,2,Full Time,1,26.0,6,3.0,7,4,7,1970,191324.62, manager  -  research & development ,No
395,37,No,,556.26,no data,17,4,life sciences,396,3,M,,3,2, sales executive ,1,,,11681.39,3,,15,3.0,4,Part Time,3,15.0,2,3.0,7,1,7,1988,53914.11,no data,Yes
396,35,No,,556.26,no data,25,3,medical,397,2,F,,3,2, sales executive ,3,,4492.84,11681.39,1,No,12,3.0,1,Part Time,1,,3,2.0,10,0,1,1990,53914.11,no data,Yes
397,38,No,,290.04, research & development ,6,4,life sciences,398,3,M,,1,1, laboratory technician ,3,Divorced,,6090.75,1,No,14,3.0,3,Part Time,1,,4,3.0,7,1,7,1987,28111.13, laboratory technician  -  research & development ,Yes
398,32,No,travel_rarely,360.18,no data,7,4,life sciences,399,3,M,45.02,3,2, laboratory technician ,3,Divorced,2909.17,7563.83,1,,13,,1,Part Time,3,,4,2.0,10,8,9,1993,34910.0,no data,Yes
399,62,No,,538.57,no data,-29,4,no data,400,2,M,,4,2, sales executive ,4,Divorced,4350.0,11310.0,0,,18,3.0,2,,1,12.0,3,3.0,11,1,9,1963,,no data,Yes
400,34,No,,556.26,no data,2,2,life sciences,401,4,F,69.53,3,2, research scientist ,3,Single,,11681.39,4,Yes,14,3.0,4,Part Time,0,10.0,2,3.0,8,0,7,1991,53914.11,no data,No
401,38,No,,1057.75,no data,1,3,technical degree,402,3,F,,1,3, manufacturing director ,1,Divorced,8543.33,22212.67,2,Yes,21,4.0,3,Full Time,1,17.0,2,3.0,7,7,7,1987,102520.0,no data,Yes
402,29,No,travel_rarely,290.04,no data,14,3,no data,403,1,M,,3,1, research scientist ,1,,2342.59,6090.75,1,,14,3.0,4,,2,,3,2.0,9,6,8,1996,,no data,Yes
403,45,No,,2036.67, research & development ,3,3,life sciences,404,3,M,,1,5, research director ,4,,16450.0,42770.0,3,No,14,3.0,2,Full Time,1,,2,3.0,8,0,7,1980,197400.0, research director  -  research & development ,Yes
404,31,No,travel_rarely,1582.77,no data,1,3,no data,405,4,F,,2,4, research director ,4,Divorced,,33238.2,3,No,14,3.0,2,Full Time,2,9.0,2,2.0,7,1,7,1994,153407.07,no data,Yes
405,61,No,,1032.49,no data,-24,4,no data,406,2,M,,3,3, manufacturing director ,4,Single,8339.32,21682.23,6,No,12,3.0,4,Part Time,0,,6,2.0,9,5,4,1964,100071.84,no data,No
406,45,No,travel_rarely,1032.49,no data,4,4,marketing,407,4,F,,2,3, sales executive ,4,Single,8339.32,21682.23,3,No,14,3.0,4,Part Time,0,23.0,3,4.0,21,15,17,1980,100071.84,no data,Yes
407,46,Yes,travel_rarely,1032.49,no data,15,3,medical,408,1,F,129.06,3,3, healthcare representative ,4,Married,8339.32,21682.23,1,,11,3.0,4,Part Time,1,,2,3.0,10,0,5,1979,100071.84,no data,Yes
408,31,Yes,,290.04, research & development ,7,3,technical degree,409,2,F,,3,1, laboratory technician ,3,Divorced,2342.59,6090.75,3,Yes,13,3.0,1,,2,10.0,2,3.0,7,7,7,1994,, laboratory technician  -  research & development ,Yes
409,34,No,travel_rarely,640.61,no data,8,3,no data,410,3,M,,4,2, sales executive ,4,Married,5174.17,13452.83,1,,15,3.0,3,Full Time,2,,4,4.0,10,0,8,1991,62090.0,no data,No
410,38,No,travel_rarely,731.92,no data,10,4,technical degree,411,4,F,,3,3, healthcare representative ,3,Married,,15370.33,3,No,12,3.0,1,Part Time,0,,0,3.0,7,1,7,1987,70940.0,no data,Yes
411,54,Yes,,1032.49, sales ,5,3,no data,412,2,M,,3,3, sales executive ,2,Single,8339.32,21682.23,9,Yes,19,3.0,3,Part Time,0,,2,2.0,8,7,7,1971,100071.84, sales executive  -  sales ,Yes
412,41,No,travel_rarely,467.79,no data,-33,2,no data,413,1,M,,3,2, manufacturing director ,3,Single,3778.33,9823.67,0,,11,3.0,1,,0,,6,,8,1,7,1984,45340.0,no data,Yes
413,36,No,,876.98,no data,9,3,no data,414,4,M,,3,3, healthcare representative ,4,,7083.33,18416.67,0,,11,,4,Part Time,1,10.0,0,2.0,9,1,6,1989,85000.0,no data,Yes
414,40,No,,556.26,no data,2,2,life sciences,415,2,F,,3,2, sales executive ,1,,,11681.39,3,,15,3.0,4,,1,11.0,3,3.0,7,1,7,1985,53914.11,no data,Yes
415,38,No,travel_frequently,478.63, sales ,-12,3,marketing,416,1,F,,4,2, sales executive ,1,Marreid,3865.83,10051.17,2,No,16,3.0,4,Part Time,1,,2,2.0,15,6,13,1987,46390.0, sales executive  -  sales ,Yes
416,37,No,,553.33,no data,1,3,no data,417,4,F,,2,2, laboratory technician ,4,,4469.17,11619.83,0,No,12,3.0,2,Part Time,1,10.0,0,3.0,9,0,0,1988,53630.0,no data,No
417,57,Yes,,1582.77,no data,13,4,no data,418,1,M,,4,4, sales executive ,3,,12783.92,33238.2,6,,17,3.0,3,Full Time,0,,2,2.0,19,3,8,1968,153407.07,no data,Yes
418,36,No,,556.26,no data,29,3,no data,419,2,M,,3,2, laboratory technician ,3,,4492.84,11681.39,4,,13,3.0,1,Part Time,2,10.0,1,3.0,8,7,7,1989,53914.11,no data,No
419,45,No,,421.06,no data,6,3,medical,420,1,F,,2,2, research scientist ,3,Single,3400.83,8842.17,1,Yes,14,3.0,1,Part Time,0,20.0,3,1.0,20,1,8,1980,40810.0,no data,No
420,44,No,travel_rarely,1582.77,no data,10,3,human resources,421,3,F,,3,4, manager ,1,Married,12783.92,33238.2,0,,14,3.0,3,Full Time,1,21.0,5,3.0,20,0,9,1981,153407.07,no data,No
421,28,No,travel_rarely,369.16,no data,7,3,no data,422,3,M,,4,1, laboratory technician ,1,Single,,7752.33,0,No,12,3.0,4,Full Time,0,8.0,2,3.0,7,0,7,1997,35780.0,no data,Yes
422,31,Yes,,1032.49,no data,14,1,other,423,3,F,,3,3, healthcare representative ,4,Single,8339.32,21682.23,0,Yes,12,3.0,1,Part Time,0,,1,3.0,8,7,7,1994,100071.84,no data,Yes
423,56,No,,1787.81, research & development ,1,3,no data,424,4,F,223.48,3,4, research director ,4,,,37544.0,6,,19,3.0,4,Full Time,0,29.0,3,2.0,20,12,7,1969,173280.0, research director  -  research & development ,No
424,57,No,,1582.77,no data,1,4,no data,425,2,M,,4,4, research director ,4,Divorced,12783.92,33238.2,2,No,13,3.0,4,Full Time,2,31.0,4,4.0,7,0,0,1968,153407.07,no data,Yes
425,42,No,non-travel,556.26,no data,9,4,other,426,3,M,,3,2, laboratory technician ,3,,4492.84,11681.39,3,No,11,3.0,3,Part Time,2,11.0,2,,8,0,7,1983,53914.11,no data,Yes
426,33,No,,1113.56,no data,8,2,no data,427,1,M,,3,3, sales executive ,4,Divorced,8994.17,23384.83,1,,18,,1,Full Time,1,13.0,5,3.0,13,9,9,1992,107930.0,no data,Yes
427,48,Yes,,1032.49,no data,9,3,marketing,428,1,M,,3,3, sales executive ,4,Divorced,8339.32,21682.23,4,No,11,3.0,1,,1,28.0,1,4.0,7,4,3,1977,,no data,Yes
428,47,No,travel_rarely,1119.55,no data,20,3,medical,429,2,M,,1,3, healthcare representative ,1,,9042.5,23510.5,2,Yes,18,3.0,2,Full Time,1,,2,3.0,7,0,7,1978,108510.0,no data,No
429,51,No,travel_rarely,1079.83,no data,7,4,life sciences,430,3,M,134.98,3,3, healthcare representative ,2,Divorced,,22676.33,3,,14,3.0,2,Full Time,2,29.0,3,3.0,8,0,7,1974,104660.0,no data,No
430,31,No,travel_rarely,556.26,no data,19,3,no data,431,3,M,69.53,2,2, sales executive ,3,,4492.84,11681.39,1,,14,3.0,3,Part Time,2,10.0,3,3.0,10,0,4,1994,53914.11,no data,Yes
431,31,Yes,,243.7,no data,1,4,technical degree,432,1,M,,2,1, research scientist ,1,Single,,5117.67,6,No,13,3.0,3,Part Time,0,,2,1.0,9,0,7,1994,23620.0,no data,Yes
432,31,No,,556.26,no data,8,1,other,433,3,F,,1,2, healthcare representative ,1,,,11681.39,3,No,13,3.0,3,Part Time,1,9.0,3,3.0,7,0,7,1994,53914.11,no data,Yes
433,42,No,travel_rarely,1582.77, human resources ,6,2,no data,434,3,M,197.85,3,4, manager ,4,Single,12783.92,33238.2,1,Yes,21,4.0,4,Full Time,0,21.0,2,3.0,21,7,7,1983,153407.07, manager  -  human resources ,Yes
434,50,No,,664.34, sales ,16,4,life sciences,435,3,F,,3,2, sales executive ,3,Divorced,,13951.17,8,No,14,3.0,3,Full Time,1,18.0,2,,8,7,7,1975,64390.0, sales executive  -  sales ,Yes
435,55,Yes,,1032.49,no data,2,5,no data,436,3,F,,2,3, manufacturing director ,4,Married,,21682.23,0,,16,3.0,2,Part Time,1,,4,3.0,33,1,9,1970,100071.84,no data,Yes
436,46,No,,1973.98,no data,7,3,medical,437,2,F,,3,5, research director ,4,,,41453.67,0,Yes,14,,4,,1,,4,2.0,22,1,10,1979,191324.62,no data,No
437,47,No,,595.21,no data,5,5,no data,438,3,F,74.4,1,2, laboratory technician ,1,,,12499.5,1,,14,3.0,1,Full Time,0,10.0,3,3.0,10,1,4,1978,57690.0,no data,No
438,47,No,non-travel,452.42,no data,26,3,marketing,439,1,M,,2,2, sales executive ,1,,3654.17,9500.83,1,,15,,1,,1,10.0,2,,10,4,5,1978,,no data,No
439,36,No,travel_frequently,556.26,no data,10,4,no data,440,3,M,,4,2, manufacturing director ,4,,4492.84,11681.39,1,,13,3.0,1,Part Time,1,9.0,3,,9,7,2,1989,53914.11,no data,Yes
440,41,No,,556.26, research & development ,10,5,medical,441,2,M,,3,2, manufacturing director ,1,,4492.84,11681.39,2,,13,3.0,4,,3,,3,3.0,7,7,7,1984,, manufacturing director  -  research & development ,No
441,29,No,,419.51, research & development ,-36,3,no data,442,3,M,,2,1, laboratory technician ,1,Divorced,3388.33,8809.67,1,No,11,3.0,1,Full Time,2,7.0,3,3.0,7,0,7,1996,40660.0, laboratory technician  -  research & development ,Yes
442,47,No,travel_rarely,556.26,no data,2,2,no data,443,4,F,,2,2, manufacturing director ,4,Divorced,4492.84,11681.39,1,,19,3.0,1,,2,10.0,3,3.0,10,3,9,1978,,no data,Yes
443,46,No,,556.26,no data,1,5,no data,444,1,M,,3,2, human resources ,4,Married,4492.84,11681.39,4,Yes,11,3.0,3,,0,14.0,3,3.0,10,0,2,1979,,no data,Yes
444,27,No,,537.13,no data,2,1,life sciences,445,4,M,67.14,4,2, manufacturing director ,3,Divorced,4338.33,11279.67,1,,17,3.0,3,Part Time,2,7.0,6,3.0,7,0,7,1998,52060.0,no data,No
445,51,No,,1582.77,no data,1,3,no data,446,3,M,,3,4, manager ,3,Single,12783.92,33238.2,4,,14,3.0,1,Full Time,0,23.0,2,3.0,8,0,0,1974,153407.07,no data,Yes
446,50,Yes,travel_frequently,273.93,no data,7,2,no data,447,4,F,,3,1, sales representative ,3,,2212.5,5752.5,2,,11,,3,,2,19.0,3,3.0,9,7,7,1975,,no data,No
447,28,No,,265.16,no data,7,3,medical,448,4,M,,3,1, laboratory technician ,4,,2141.67,5568.33,1,No,20,4.0,3,Part Time,0,7.0,5,3.0,7,5,7,1997,25700.0,no data,Yes
448,46,No,travel_rarely,1032.49,no data,2,3,life sciences,449,3,F,129.06,4,3, healthcare representative ,4,,8339.32,21682.23,1,,19,,2,Part Time,1,,2,3.0,8,6,7,1979,100071.84,no data,Yes
449,38,No,,464.49,no data,2,4,no data,450,3,F,58.06,3,2, sales representative ,4,Single,3751.67,9754.33,3,,15,,3,Part Time,0,17.0,2,2.0,13,6,7,1987,45020.0,no data,Yes
450,48,No,,556.26, research & development ,13,4,no data,451,3,M,69.53,3,2, healthcare representative ,2,Single,4492.84,11681.39,6,No,14,3.0,4,Part Time,0,19.0,3,3.0,10,0,9,1977,53914.11, healthcare representative  -  research & development ,Yes
451,37,No,,556.26,no data,27,4,life sciences,452,4,M,,3,2, manufacturing director ,3,Married,4492.84,11681.39,2,,16,3.0,2,Part Time,1,17.0,3,3.0,7,0,7,1988,53914.11,no data,Yes
452,32,No,travel_frequently,512.57,no data,2,4,no data,453,4,F,,2,1, research scientist ,1,,4140.0,10764.0,0,,16,3.0,4,,0,10.0,2,,9,0,7,1993,49680.0,no data,No
453,32,No,,1032.49,no data,15,2,marketing,454,3,M,,2,3, sales executive ,1,,8339.32,21682.23,2,No,11,3.0,1,Part Time,1,,2,3.0,7,1,7,1993,100071.84,no data,Yes
454,35,No,non-travel,531.04,no data,2,3,marketing,455,4,F,,3,2, sales executive ,2,,4289.17,11151.83,8,No,15,3.0,4,Part Time,0,13.0,2,2.0,11,1,7,1990,51470.0,no data,Yes
455,34,No,,280.43,no data,5,4,no data,456,2,M,35.05,3,1, research scientist ,2,Single,2265.0,5889.0,2,No,14,3.0,2,Part Time,0,12.0,3,3.0,7,0,7,1991,27180.0,no data,Yes
456,45,No,travel_rarely,365.13,no data,2,3,life sciences,457,2,M,,3,1, human resources ,4,,2949.17,7667.83,0,No,13,3.0,2,,0,,5,3.0,9,1,8,1980,,no data,No
457,33,No,travel_rarely,564.16,no data,29,4,marketing,458,1,F,,2,2, sales executive ,4,,4556.67,11847.33,1,,14,3.0,1,Full Time,2,,3,3.0,12,5,7,1992,54680.0,no data,Yes
458,37,Yes,,599.75,no data,27,3,no data,459,3,M,,3,2, sales executive ,4,,4844.17,12594.83,1,,18,3.0,4,,0,,2,3.0,10,7,7,1988,,no data,No
459,37,No,non-travel,556.26, research & development ,2,2,medical,460,2,M,,3,2, manufacturing director ,4,Divorced,4492.84,11681.39,2,No,14,3.0,3,,1,15.0,6,3.0,7,1,7,1988,53914.11, manufacturing director  -  research & development ,No
460,32,No,,997.39,no data,10,3,medical,461,1,F,,3,3, manufacturing director ,3,Single,8055.83,20945.17,9,No,14,3.0,2,Part Time,0,9.0,3,3.0,7,0,2,1993,96670.0,no data,No
461,48,Yes,travel_rarely,556.26,no data,-19,2,medical,462,4,F,,3,2, healthcare representative ,2,Married,4492.84,11681.39,4,No,22,4.0,4,,1,13.0,2,4.0,9,3,7,1977,,no data,No
462,47,No,non-travel,531.76,no data,2,4,no data,463,3,F,,3,2, sales executive ,3,Married,,11167.0,4,,22,4.0,2,Part Time,2,10.0,3,4.0,8,5,7,1978,51540.0,no data,No
463,45,No,travel_frequently,585.52,no data,2,4,life sciences,464,1,M,73.19,3,2, sales executive ,4,Married,4729.17,12295.83,1,,20,4.0,3,Full Time,1,7.0,5,3.0,7,7,7,1980,56750.0,no data,No
464,48,Yes,,754.62,no data,10,3,life sciences,465,3,F,,3,3, sales executive ,2,,6095.0,15847.0,5,,21,4.0,3,Part Time,3,14.0,2,3.0,8,0,7,1977,73140.0,no data,Yes
465,42,No,travel_rarely,1582.77, research & development ,1,4,no data,466,1,M,,3,4, manager ,1,,12783.92,33238.2,2,,11,3.0,1,,1,22.0,3,,19,11,16,1983,, manager  -  research & development ,Yes
466,29,No,travel_rarely,556.26, sales ,2,2,no data,467,1,F,,4,2, sales executive ,3,Single,4492.84,11681.39,0,No,14,3.0,2,Part Time,0,9.0,5,2.0,8,0,7,1996,53914.11, sales executive  -  sales ,No
467,44,No,,1032.49,no data,6,3,medical,468,3,M,,3,3, research director ,1,Married,8339.32,21682.23,9,No,13,3.0,2,,1,18.0,3,4.0,13,5,7,1981,,no data,Yes
468,28,No,travel_frequently,290.04,no data,6,3,other,469,3,M,36.25,4,1, laboratory technician ,4,Married,2342.59,6090.75,0,No,18,3.0,1,Part Time,1,8.0,3,3.0,7,7,7,1997,28111.13,no data,Yes
469,30,No,travel_frequently,556.26,no data,1,2,life sciences,470,3,M,69.53,2,2, sales executive ,4,Married,,11681.39,1,,12,3.0,3,Part Time,1,7.0,2,3.0,7,0,7,1995,53914.11,no data,Yes
470,49,No,,556.26,no data,14,4,no data,471,3,M,69.53,3,2, research scientist ,2,Married,4492.84,11681.39,8,,18,3.0,3,Part Time,1,,4,4.0,8,1,7,1976,53914.11,no data,No
471,36,No,travel_rarely,1032.49,no data,13,4,medical,472,4,M,,3,3, sales executive ,3,Divorced,8339.32,21682.23,1,No,18,3.0,3,Part Time,1,9.0,2,2.0,8,1,1,1989,100071.84,no data,Yes
472,28,No,,290.04, research & development ,1,3,medical,473,3,M,,3,1, laboratory technician ,1,Single,2342.59,6090.75,0,No,13,3.0,4,Part Time,0,8.0,6,,7,7,6,1997,28111.13, laboratory technician  -  research & development ,Yes
473,29,No,travel_rarely,556.26,no data,9,3,no data,474,4,M,,3,2, sales executive ,4,,,11681.39,1,,14,3.0,1,Part Time,0,,5,,7,0,7,1996,53914.11,no data,No
474,33,Yes,travel_frequently,556.26, sales ,26,4,marketing,475,1,M,,3,2, sales executive ,4,,4492.84,11681.39,1,Yes,11,3.0,3,Part Time,0,10.0,4,3.0,10,0,8,1992,53914.11, sales executive  -  sales ,Yes
